company,name,price,rating,review
Ampere,"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Galactic Grey)","₹1,04,900",4.2,215 Ratings & 39 Reviews
Ampere,"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)","₹1,46,355",4.2,215 Ratings & 39 Reviews
Ampere,"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Buck Black)","₹1,46,355",4.2,215 Ratings & 39 Reviews
Ampere,"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Ocean Blue)","₹1,00,900",4.2,215 Ratings & 39 Reviews
Ampere,"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Glacial White)","₹1,00,900",4.2,215 Ratings & 39 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)","₹1,26,153",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Alpine Green)","₹1,34,514",4,5 Ratings & 4 Reviews
Bgauss,"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)","₹1,34,514",4,5 Ratings & 4 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Foliage Green)","₹1,26,153",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Black & Silver)","₹1,34,514",4,5 Ratings & 4 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Blue)","₹1,26,153",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Brooklyn Black)","₹1,26,153",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)","₹1,05,000",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Black & Silver)","₹1,45,651",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)","₹1,45,651",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)","₹1,26,153",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)","₹1,26,513",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Blue)","₹1,05,000",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)","₹1,05,000",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)","₹1,05,000",4,5 Ratings & 4 Reviews
Bgauss,"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Foliage Green)","₹1,05,000",4,5 Ratings & 4 Reviews
Bgauss,"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)","₹1,34,514",3.9,12 Ratings & 5 Reviews
Bgauss,"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)","₹1,34,514",4.4,25 Ratings & 6 Reviews
Bgauss,"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)","₹1,45,651",3.9,12 Ratings & 5 Reviews
Bounce Infinity,"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹1,14,208",4,96 Ratings & 31 Reviews
Joy,"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, White)","₹75,000",5,3 Ratings & 1 Reviews
Joy,"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, Silver)","₹75,000",5,3 Ratings & 1 Reviews
Joy,"Joy e-bike Wolf Eco Booking for Ex-Showroom Price (with Portable Charger, Black and Red)","₹80,000",5,3 Ratings & 1 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹1,32,990",4.3,48 Ratings & 5 Reviews
Okaya,"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹74,499",3.6,21 Ratings & 5 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,32,990",4.3,48 Ratings & 5 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, White)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Silver)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹1,32,990",4.3,48 Ratings & 5 Reviews
Okaya,"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, White)","₹74,499",3.6,21 Ratings & 5 Reviews
Okaya,"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹74,499",3.6,21 Ratings & 5 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹1,32,990",4.3,48 Ratings & 5 Reviews
Okaya,"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,24,990",3.7,3 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Black)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Green)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, White)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,499",3.6,21 Ratings & 5 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹99,950",4.1,37 Ratings & 12 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Red)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Orange)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Red)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Black)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Orange)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,900",4.4,528 Ratings & 84 Reviews
